config,Section,Item,Value,Notes,Cost overlay
orig,State Dimension,iv:META,mu=-0.00157152; omega=0.0244162; alpha=0.205676; beta=0.547104,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,iv:MSFT,mu=0.00613006; omega=0.0939383; alpha=0.221406; beta=1.84521e-17,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,iv:NVDA,mu=0.000877734; omega=0.0172009; alpha=0.162236; beta=0.739677,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,iv:TSLA,mu=-0.00981235; omega=0.0226323; alpha=0.187789; beta=0.505187,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,State Dimension,vix:VIX,mu=0.00114242; omega=0.0338075; alpha=0.49259; beta=0.0963354,n_obs=68; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Simulation Method,joint_garch_block,joint block rows preserve empirical cross-dependence; gaussian_copula is rank-mapped sensitivity,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Strike Rule,K_t = entry state_t * exp(train median log moneyness),"Static moneyness, repriced each month","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Original Tenor Reference,train median tenor_days / 365,Stored as tenor_years for audit only,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Pricing Tenor Rule,0.08333333333333333,Synthetic contracts are one-step (1-month) options so premium and payoff horizons match; realized-kernel tenors average ~0.6 months,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Skew Freeze,contract median IV / underlying ATM median IV,49 contracts,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Rate,0.02,Continuously-compounded annual rate used in BS and Black-76,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,IV Floors Caps,0.05 to 2.0,Applied to ATM and skew-adjusted contract IV,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,VIX Level Caps,5.0 to 150.0,Applied during state reconstruction,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Min Mark Rule,0.25,"Entry denominator uses max(model premium, min_mark) in dollars","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Spot Anchor,contract train-end spot,State spot paths are relative to 1.0 and scaled by anchor_spot at repricing,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,VIX Forward Convention,simulated spot:VX_FRONT entry forward; VIX level settlement proxy at t+1,"Premium uses the VX-front state, payoff uses simulated VIX level","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Seed,20260625,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Path Count,1000,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Horizon Months,60,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Block Length,6,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig,Kernel,Min GARCH Obs,60,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,spot:AAPL,mu=0.019431; omega=0.00113634; alpha=0.0777105; beta=0.748476,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,spot:AMZN,mu=0.0316915; omega=0.00203097; alpha=0; beta=0.704828,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,spot:GOOGL,mu=0.0182634; omega=0.00348159; alpha=0.143728; beta=2.13318e-14,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,spot:JPM,mu=0.0162303; omega=0.00362136; alpha=0.211243; beta=0,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,spot:META,mu=0.0213947; omega=0.00167887; alpha=0.315841; beta=0.392632,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,spot:MSFT,mu=0.0262454; omega=0.000436407; alpha=0.140304; beta=0.728673,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,spot:NVDA,mu=0.049128; omega=0.00330517; alpha=0.0538818; beta=0.712314,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,spot:TSLA,mu=0.0189024; omega=0.000354872; alpha=0.0604221; beta=0.939578,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,spot:VX_FRONT,mu=-0.00580358; omega=0.0268687; alpha=0.446917; beta=0.0984006,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,iv:AAPL,mu=0.0081573; omega=0.0225031; alpha=0.213579; beta=0.606376,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,iv:AMZN,mu=0.000709312; omega=0.0592597; alpha=0.042638; beta=0.453598,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,iv:GOOGL,mu=-0.00220899; omega=0.0485703; alpha=0.00707529; beta=0.485269,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,iv:JPM,mu=-0.00210938; omega=0.0415749; alpha=0.0733827; beta=0.415499,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,iv:META,mu=-0.00157152; omega=0.0244162; alpha=0.205676; beta=0.547104,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,iv:MSFT,mu=0.00613006; omega=0.0939383; alpha=0.221406; beta=1.84521e-17,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,iv:NVDA,mu=0.000877734; omega=0.0172009; alpha=0.162236; beta=0.739677,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,iv:TSLA,mu=-0.00981235; omega=0.0226323; alpha=0.187789; beta=0.505187,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,iv:VX_FRONT,mu=-0.00212937; omega=0.0459306; alpha=0.360287; beta=2.13779e-17,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,State Dimension,vix:VIX,mu=0.00114242; omega=0.0338075; alpha=0.49259; beta=0.0963354,n_obs=68; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Simulation Method,joint_garch_block,joint block rows preserve empirical cross-dependence; gaussian_copula is rank-mapped sensitivity,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Strike Rule,K_t = entry state_t * exp(train median log moneyness),"Static moneyness, repriced each month","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Original Tenor Reference,train median tenor_days / 365,Stored as tenor_years for audit only,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Pricing Tenor Rule,0.08333333333333333,Synthetic contracts are one-step (1-month) options so premium and payoff horizons match; realized-kernel tenors average ~0.6 months,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Skew Freeze,contract median IV / underlying ATM median IV,54 contracts,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Rate,0.02,Continuously-compounded annual rate used in BS and Black-76,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,IV Floors Caps,0.05 to 2.0,Applied to ATM and skew-adjusted contract IV,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,VIX Level Caps,5.0 to 150.0,Applied during state reconstruction,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Min Mark Rule,0.25,"Entry denominator uses max(model premium, min_mark) in dollars","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Spot Anchor,contract train-end spot,State spot paths are relative to 1.0 and scaled by anchor_spot at repricing,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,VIX Forward Convention,simulated spot:VX_FRONT entry forward; VIX level settlement proxy at t+1,"Premium uses the VX-front state, payoff uses simulated VIX level","gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Seed,20260625,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Path Count,1000,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Horizon Months,60,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Block Length,6,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
orig+VIX,Kernel,Min GARCH Obs,60,,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:AAPL,mu=0.019431; omega=0.00113634; alpha=0.0777105; beta=0.748476,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:AMZN,mu=0.0316915; omega=0.00203097; alpha=0; beta=0.704828,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:GOOGL,mu=0.0182634; omega=0.00348159; alpha=0.143728; beta=2.13318e-14,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:JPM,mu=0.0162303; omega=0.00362136; alpha=0.211243; beta=0,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:META,mu=0.0213947; omega=0.00167887; alpha=0.315841; beta=0.392632,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:MSFT,mu=0.0262454; omega=0.000436407; alpha=0.140304; beta=0.728673,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:NVDA,mu=0.049128; omega=0.00330517; alpha=0.0538818; beta=0.712314,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:TSLA,mu=0.0189024; omega=0.000354872; alpha=0.0604221; beta=0.939578,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:AAL,mu=-0.0140827; omega=0.000202769; alpha=5.8669e-13; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:ADBE,mu=0.0274684; omega=2.87916e-05; alpha=1.30463e-14; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:AMAT,mu=0.0178126; omega=6.05899e-05; alpha=0; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:AMD,mu=0.0417538; omega=0.0039531; alpha=0.422283; beta=0.470468,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:AVGO,mu=0.0263665; omega=0.00449406; alpha=0.351953; beta=0,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:BA,mu=0.00655971; omega=0.000240565; alpha=0; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:BAC,mu=0.012173; omega=0.00569175; alpha=0.222592; beta=6.27325e-14,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:BKNG,mu=0; omega=1e-12; alpha=0; beta=0,n_obs=70; fallback=True; reason=garch_failed:ValueError,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:C,mu=0.0131929; omega=0.00443351; alpha=0.432637; beta=0.214889,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:CCL,mu=-0.00291196; omega=0.00270246; alpha=1; beta=0,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:CHTR,mu=0.01429; omega=0.000167653; alpha=0.0602564; beta=0.824335,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:CMCSA,mu=3.99204e-05; omega=0.00124682; alpha=0; beta=0.898966,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:COST,mu=0.0135988; omega=0.000204607; alpha=0; beta=0.92608,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:CRM,mu=0.0201411; omega=0.000469679; alpha=0.0231412; beta=0.908345,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:CSCO,mu=0.008498; omega=0.000131322; alpha=0.0485338; beta=0.933887,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:CVX,mu=0.00345512; omega=0.000762198; alpha=0.268053; beta=0.638278,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:DAL,mu=0.00388277; omega=0.00146731; alpha=0.432534; beta=0.552307,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:DIS,mu=0.00807985; omega=0.000262314; alpha=0.0894736; beta=0.880962,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:GE,mu=-0.0059039; omega=0.000246726; alpha=0.0854474; beta=0.914553,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:GILD,mu=-0.00837274; omega=0.00115406; alpha=4.48018e-18; beta=0.751448,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:GOOG,mu=0.0188046; omega=0.00322385; alpha=0.198883; beta=2.35162e-13,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:GS,mu=0.00579135; omega=0.00412237; alpha=0.421364; beta=1.66102e-15,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:HD,mu=0.0127264; omega=0.00285455; alpha=0.130805; beta=1.55623e-17,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:INTC,mu=0.00585943; omega=4.40056e-05; alpha=0; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:JNJ,mu=0.00628554; omega=2.85231e-05; alpha=8.90816e-14; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:KO,mu=0.00340344; omega=0.00101565; alpha=0.572744; beta=6.24426e-13,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:LLY,mu=0.0100795; omega=3.67755e-05; alpha=1.24597e-13; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:LRCX,mu=0.0228495; omega=7.14258e-05; alpha=0; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:MA,mu=0.0211644; omega=0.000810293; alpha=0.252221; beta=0.581192,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:MRK,mu=0.00431296; omega=0.000624241; alpha=7.45817e-16; beta=0.760937,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:MU,mu=0.014834; omega=0.000780325; alpha=0; beta=0.94405,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:NFLX,mu=0.0254178; omega=4.20898e-05; alpha=0; beta=0.943461,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:NKE,mu=0.0143411; omega=7.3881e-05; alpha=0; beta=0.968525,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:ORCL,mu=0.00532279; omega=2.20809e-05; alpha=0; beta=1,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:PFE,mu=0.00545318; omega=0.000226707; alpha=0.128238; beta=0.817365,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:PG,mu=0.00832719; omega=0.00130505; alpha=0.103097; beta=0.131368,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:PYPL,mu=0.0225291; omega=0.00248313; alpha=0.489796; beta=0,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:QCOM,mu=0.0131872; omega=0.0107005; alpha=0.0527596; beta=0.10897,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:SBUX,mu=0.00856075; omega=0.000584713; alpha=3.98815e-10; beta=0.866143,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:T,mu=-0.000861279; omega=4.72436e-05; alpha=1.06299e-11; beta=0.992245,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:TXN,mu=0.0162532; omega=0.000300906; alpha=0.0539802; beta=0.873855,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:UAL,mu=0.0100788; omega=0.00272579; alpha=0.469463; beta=0.488963,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:UNH,mu=0.0188038; omega=0.000923444; alpha=0.229852; beta=0.468105,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:V,mu=0.0177103; omega=0.000620135; alpha=0; beta=0.790422,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:VZ,mu=0.00358539; omega=0.00114448; alpha=1.72973e-11; beta=0.501885,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:WFC,mu=-0.00294708; omega=0.00324148; alpha=0.595602; beta=0.0501076,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:WMT,mu=0.00787657; omega=0.00058718; alpha=0.167098; beta=0.638446,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,spot:XOM,mu=-0.0073419; omega=0.00094378; alpha=0.376541; beta=0.498132,n_obs=70; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:AAPL,mu=0.0081573; omega=0.0225031; alpha=0.213579; beta=0.606376,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:AMZN,mu=0.000709312; omega=0.0592597; alpha=0.042638; beta=0.453598,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:GOOGL,mu=-0.00220899; omega=0.0485703; alpha=0.00707529; beta=0.485269,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:JPM,mu=-0.00210938; omega=0.0415749; alpha=0.0733827; beta=0.415499,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:META,mu=-0.00157152; omega=0.0244162; alpha=0.205676; beta=0.547104,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:MSFT,mu=0.00613006; omega=0.0939383; alpha=0.221406; beta=1.84521e-17,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:NVDA,mu=0.000877734; omega=0.0172009; alpha=0.162236; beta=0.739677,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:TSLA,mu=-0.00981235; omega=0.0226323; alpha=0.187789; beta=0.505187,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:AAL,mu=-0.00233372; omega=0.0179901; alpha=0.792447; beta=3.0826e-13,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:ADBE,mu=0.00300399; omega=0.0597772; alpha=0; beta=0.49935,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:AMAT,mu=-0.00572473; omega=0.0128879; alpha=0.0539716; beta=0.805985,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:AMD,mu=-0.00754972; omega=0.011858; alpha=0.735529; beta=0.00615266,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
larger,State Dimension,iv:AVGO,mu=-0.00323188; omega=0.00599932; alpha=0; beta=0.956618,n_obs=69; fallback=False; reason=,"gross structural repricing; net rows subtract resampled realized full-cost drag, not synthetic NBBO"
